model,r2,mae,rmse
Ridge Regression (Baseline),0.1702853780540624,223716986.4263726,376890301.3478519
Gradient Boosting Regressor,0.6785176304371883,113913833.89956367,234600627.96434072
Random Forest Regressor,0.6802664620014974,96432212.47909206,233961655.9533889
